message,subquestion_focus,subquestion_type,answer
my sister been in care center setting for year and half her caretakers have commented that she is always hungry she asks for food when i go see her what could cause this,unusal appetite,Cause,"Considerations An increased appetite can be a symptom of different diseases. For example, it may be due to a mental condition or a problem with the endocrine gland.  An increased appetite can come and go (intermittent), or it can last for long periods of time (persistent). This will depend on the cause. It does not always result in weight gain.  The terms ""hyperphagia"" and ""polyphagia"" refer to someone who is focused only on eating, or who eats a large amount before feeling full.  Causes Causes may include:  Anxiety Certain drugs (such as corticosteroids, cyproheptadine, and tricyclic antidepressants) Bulimia (most common in women 18 to 30 years old) Diabetes mellitus (including gestational diabetes) Graves disease Hyperthyroidism Hypoglycemia Premenstrual syndrome"
there is lot of collection its good but i dont find my problem and suggestion i want to know about male reproductive,male Reproductive,Information,"Reproductive health is an important component of men's overall health and well-being. Too often, males have been overlooked in discussions of reproductive health, especially when reproductive issues such as contraception and infertility have been perceived as female-related. Every day, men, their partners, and health care providers can protect their reproductive health by ensuring effective contraception, avoiding sexually transmitted diseases (STDs), and preserving fertility.  Common issues in male reproductive health include:  Contraception Avoiding sexually transmitted diseases Infertility/fertility"
i will love to try diet i need to lose weight,weight,Treatment,"Summary Keeping a healthy weight is crucial. If you are underweight, overweight, or obese, you may have a higher risk of certain health problems.  About two thirds of adults in the U.S. are overweight or obese. Achieving a healthy weight can help you control your cholesterol, blood pressure and blood sugar. It might also help you prevent weight-related diseases, such as heart disease, diabetes, arthritis and some cancers.  Eating too much or not being physically active enough will make you overweight. To maintain your weight, the calories you eat must equal the energy you burn. To lose weight, you must use more calories than you eat. A weight-control strategy might include  Choosing low-fat, low-calorie foods Eating smaller portions Drinking water instead of sugary drinks Being physically active Eating extra calories within a well-balanced diet can help to add weight."
i wonder if girl can get pregnant if she had sex three days after menstrual period,get pregnant,susceptibility,"Sometimes ovulation can happen before the bleeding from a girl's period has stopped or within a few days after her period is over. All girls can ovulate at different points from cycle to cycle, making it impossible for a girl to know exactly when she is most fertile. Because sperm can fertilize an egg for 72 hours (3 days) after ejaculation, having sex during a girl's period is risky."
bleach on bed sores yes or hear to add water and rag,Bleach on bed sores,Treatment,"Now scientists at Stanford University School of Medicine, California, think it could also have other medical uses, including healing skin damaged by cancer treatment, bed sores and diabetic ulcers."
i have parasites need help,parasites,Treatment,"Treatment Options  Drug Therapies    Your doctor will choose the drug that is most effective against your intestinal parasite. You may need one dose, or you may have to take the medication for several weeks. Be careful to take the medicine exactly as it is prescribed, or it may not work.  Complementary and Alternative Therapies    Conventional medical treatments can get rid parasites more quickly and with fewer side effects than most alternative treatments. Alternative treatments may be helpful along with conventional medications. However, your doctor must find out what kind of organism is causing your problems before you start treatment. The following nutritional guidelines may help keep parasites from growing.  Nutrition and Supplements        Avoid simple carbohydrates, such as those found in refined foods, fruits, juices, dairy products, and all sugars, except honey.      Eat more raw garlic, pumpkin seeds, pomegranates, beets, and carrots, all of which have been used traditionally to kill parasites. In one study, researchers found that a mixture of honey and papaya seeds cleared stools of parasites in 23 out of 30 subjects. Drink a lot of water to help flush out your system.      Eat more fiber, which may help get rid of worms.      Probiotics (Lactobacillus acidophilus, Lactobacilus plantarum, Saccharomyces boulardii, and bifidobacteria). Help keep your digestive tract healthy. Probiotics may not be appropriate in some severely immune compromised patients. Talk to your doctor.      Digestive enzymes will help restore your intestinal tract to its normal state, which makes it inhospitable to parasites. Papain is an enzyme from the papaya plant that may help kill worms when taken 30 minutes before or after meals. Papain may increase bleeding in people with clotting disorders, or in those taking blood-thinning medications, such as warfarin (Coumadin) among others.      Vitamin C. Supports the immune system. Lower the dose if diarrhea develops.      Zinc. Supports the immune system. Zinc may interact with certain medications, particularly some antibiotics, and it may not be appropriate for people with HIV/AIDS. Talk to your doctor. "
can sepsis be prevented can someone get this from hospital,sepsis,Treatment,Preventing Sepsis There's no way to prevent all types of sepsis. But some cases can be avoided by preventing the transmission of GBS bacteria from mother to child during childbirth. Pregnant women can have a simple swab test between the 35th and 37th weeks of pregnancy to determine if they carry the GBS bacteria.
need to fix my cross eyed,Cross Eye,Treatment,"Eye muscle repair is surgery to correct eye muscle problems that cause strabismus (crossed eyes).  Description    The goal of this surgery is to restore the eye muscles to a proper position. This will help the eyes move correctly.    Eye muscle surgery is most often done on children. However, adults who have similar eye problems may also have it done. Children will most often have general anesthesia for the procedure. They will be asleep and will not feel pain.    Depending on the problem, one or both eyes may need surgery.    After the anesthesia has taken effect, the eye surgeon makes a small surgical cut in the clear tissue covering the white of the eye. This tissue is called the conjunctiva. Then the surgeon will locate one or more of the eye muscles that needs surgery. Sometimes the surgery strengthens the muscle, and sometimes it weakens it.        To strengthen a muscle, a section of the muscle or tendon may be removed to make it shorter. This step in the surgery is called a resection.      To weaken a muscle, it is reattached to a point farther toward the back of the eye. This step is called a recession.    The surgery for adults is similar. In most cases, adults are awake, but are given medicine to numb the area and help them relax.    When the procedure is done on adults, an adjustable stitch is used on the weakened muscle so that minor changes can be made later that day or the next day. This technique often has a very good outcome."
would like to obtain more info on possible treatments,Vitelliform Macular Dystrophy,Treatment,Where can I find information about diagnosis or management of vitelliform macular dystrophy?  These resources address the diagnosis or management of vitelliform macular dystrophy and may include treatment providers.
i would like information on timing and exercises that counter sarcopenia should exercise take place at particular time of the day several times in the day what types of exercise are most effective to maintain strength as i get older i am now 82 and even thought i swim daily and do variety of resistance exercises i still find that i am losing strength and tiring easily,exercises that counter sarcopenia,Treatment,"What is the best kind of exercise?    Most people tend to focus on one activity or type of exercise.The goal, however, is to be creative and do all four types of exercise—endurance, strength, balance, and flexibility. (See ""Healthy Aging with Go4Life"")    Endurance, or aerobic, activities increase your breathing and heart rate. They help keep you healthy, improve fitness, and carry out everyday tasks.    To strengthen your muscles, you need to lift or push weight. Even very small changes can make a real difference. Stronger muscles can make it easier to get up from a chair, carry groceries, open jars, work in the garden, and even play with your grandchildren.    Each year, more than 2 million older Americans go to the emergency room because of fall-related injuries. Balance exercises are one way to help prevent falling.    Flexibility, or stretching, exercises give you more freedom of movement for everyday activities.  How can I find time to exercise?    There are a number of ways to fit exercise and physical activity into your schedule. For example, exercise first thing in the morning, or combine physical activity with a task that's already part of your day, such as walking the dog.  Do I need any equipment?    For many activities, you don't need any equipment or special clothing. All you need for brisk walking, for example, is a pair of comfortable, non-skid shoes. For strength training, you can make your own weights from unbreakable household items.  For more health and wellness information, sign up for free Healthy Aging Tips at NIH Senior Health.  Is it better to exercise in a group or alone?    The key is to do what you truly enjoy, which could be with others or on your own. A team activity like basketball or a group exercise class might be appealing. Or, on their own, some people find going to a gym regularly or working with a trainer helps them stay motivated.  What should people who are overweight or obese do?    Try walking, water exercises, dancing, or weight lifting, varying your activities to include endurance, strength, balance, and flexibility. Anything that gets you moving—even for only a few minutes a day in the beginning—is a healthy start. Feel good about what you can do, and pat yourself on the back for trying. It should get easier."
hello sir madam my mother suffering from multiple brain infarcts disease i want to know whether your esteem organization having any treatment on the sameregards,Multiple brain infarcts,Treatment,"Is there any treatment?  There is no treatment available to reverse brain damage that has been caused by a stroke.  Treatment focuses on preventing future strokes by controlling or avoiding the diseases and medical conditions that put people at high risk for stroke:  high blood pressure, diabetes, high cholesterol, and cardiovascular disease.  The best treatment for MID is prevention early in life – eating a healthy diet, exercising, not smoking, moderately using alcohol, and maintaining a healthy weight."
i had saliva test last july which showed my cortisol level at 9 630am 51 1130am 42 430pm 33 930pm i wake frequently during the night and my brain seems to engage in much thought making it difficult to go back to sleep i wake well before the 545 alarm and drag myself out of bed i am exhausted all day and can fall asleep at day or evening events i have seen endocrinologists in addition to my gyn and primary care dr all of whom tell all my blood tests are normal i take 2 sport yoga classes and qi gong class weekly i was young 65 but at 66 the lack of sleep finally caught up with and i feel much older than my 66 years i feel lethargic and heavychested i want my life back i have never seen or read anything about how or where help can be found can you help,difficult to go back to sleep,Treatment,"Chronic, long-term sleep disorders affect millions of Americans each year. These disorders and the sleep deprivation they cause can interfere with work, driving, social activities, and overall quality of life, and can have serious health implications. Sleep disorders account for an estimated $16 billion in medical costs each year, plus indirect costs due to missed days of work, decreased productivity, and other factors.    People who have trouble sleeping often try various dietary supplements, relaxation therapies, or other complementary health approaches in an effort to fall asleep faster, stay asleep longer, and improve the overall quality of their sleep. Here are 5 things to know about what the science says about sleep disorders and complementary health approaches.        Relaxation techniques may be helpful for insomnia. Evidence indicates that using relaxation techniques before bedtime can be helpful components of a successful strategy to improve sleep habits. Other components include maintaining a consistent sleep schedule; avoiding caffeine, alcohol, heavy meals, and strenuous exercise too close to bedtime; and sleeping in a quiet, cool, dark room.              Melatonin supplements may be helpful for some people with insomnia or sleep problems caused by shift work or jet lag. Research on the use of melatonin for children is more limited; available research suggests some benefit in children, but those studies were small and only addressed short-term use of melatonin. The long-term safety of melatonin has not been investigated.              Current evidence regarding other mind and body approaches such as mindfulness-based stress reduction (a type of meditation), yoga, massage therapy, and acupuncture is either too preliminary or inconsistent to draw conclusions about whether they are helpful for sleep disorders. These mind and body practices are generally considered safe for healthy people and when performed by an experienced practitioner.              Various herbs and dietary supplements sometimes used as sleep aids, including valerian, kava, chamomile, and L-tryptophan and 5-hydroxytryptophan (5-HTP) have not been shown to be effective for insomnia, and important safety concerns have been raised about a few. For example, the use of L-tryptophan supplements has been linked to eosinophilia-myalgia syndrome (EMS), a complex, potentially fatal disorder with multiple symptoms including severe muscle pain. Kava supplements have been linked to a risk of severe liver damage.              If you are considering a complementary health approach for sleep problems, talk to your health care providers. Trouble sleeping can be an indication of a more serious condition, and some prescription and over-the-counter drugs can contribute to sleep problems. So, it’s important to discuss your sleep-related symptoms with your health care providers before trying any complementary health product or practice."
my wife systemic lupus and is already taking potassium chloride 20meg er 1qd and about 2448 ounces of gatoraid every day but still gets severe leg cramps what can she do to stop or help stop the cramps,SEVERE leg cramps,Treatment,"The muscles can also get inflamed in lupus, and many patients suffer from myositis (inflammation in the muscle). This usually presents with weakness rather than pain. There are a number of causes of muscle cramps, some of which are biochemical and your physician might check your electrolytes and calcium to make sure that this is not the cause. Occasional medications can do that such as cholesterol lowering agents."
i have 5 yrs old hes having problem talking to people or ask questionam kind of worriedi need help for my child to be able to talk very wellalso hes behind in school,problem talking to people/behind in school,Treatment,"How Does Your Child Hear and Talk?  [en Español]   The development of communication skills begins in infancy, before the emergence of the first word. Any speech or language problem is likely to have a significant effect on the child's social and academic skills and behavior. The earlier a child's speech and language problems are identified and treated, the less likely it is that problems will persist or get worse. Early speech and language intervention can help children be more successful with reading, writing, schoolwork, and interpersonal relationships.      Birth to One Year     One to Two Years     Two to Three Years     Three to Four Years     Four to Five Years  This information represents, on average, the age by which most monolingual speaking children will accomplish the listed milestones. Children typically do not master all items in a category until they reach the upper age in each age range. Just because your child has not accomplished one skill within an age range does not mean the child has a disorder. However, if you have answered no to the majority of items in an age range, seek the advice of an ASHA-certified speech-language pathologist or audiologist .  What should I do if I think that my child may have a speech, language, or hearing problem?"
i was diagnosed with ncs about 10 yrs ago but little was known about it at the time they said i needed surgery but refused due to the fact i didnt have any money it been left untreated all this time and is feeling worse what can i do to get help with this i am pleading for help thank you,nutcracker,Treatment,"Treatment and prognosis  Treatment should be started strictly when it is causing symptoms (haematuria and left flank pain). Surgical treatment modalities have their own inherent complications, and should be contemplated only when strongly indicated. A few of the reported surgical choices are:      left renal vein transposition 5     superior mesenteric artery transposition     nephrectomy     endovascular stent-graft placement 6"
could i skin graph help with stage 4 pressure soreand would it be less invasive on elderly person,stage 4 Pressure sore,Treatment,"DETERMINING THE NEED FOR SURGICAL INTERVENTION  A patient with a stage III or IV ulcer that has not responded to conservative medical treatment may be evaluated for operative repair. Prior to surgery the patient should be in an optimal state both mentally and physically, and factors that impair healing should be minimized. The patient’s ability to tolerate the surgery and participate in the postoperative rehabilitation must be assessed prior to any surgery. Some patients may not be surgical candidates due to malnutrition, immobility, poor compliance with treatment, or chronic diseases.  Operative procedures may include skin grafts or flaps (surgical reconstruction). Which option is available may be limited due to previous surgeries, a shortage of available tissue to use, and impaired blood supply. Immediately after surgery, the operated region must be totally offloaded. Once the surgical incision has healed, the patient will be allowed to gradually apply pressure to the area.  Rates of surgical complications and recurrence rates are high. Complication rates have been reported as high as 49%. Osteomyelitis is the major cause of breakdown after surgery (WOCN, 2010)."
dear sir sir i feel pain in my right said pain every time i feel hard pain please do something there both doctor say use this medicine you feel bather but this medicine work temporary,testis pain,Treatment,"1. When to Seek Immediate Medical Help  See a health care provider or go to a hospital emergency room if:      Pain is severe or sudden or radiates into the abdomen.      Pain is accompanied by nausea and vomiting, urinary frequency or urgency, or painful urination.      There is swelling or bruising of the scrotum, or the scrotum or testicle is punctured.  2. Treat Symptoms      For pain, take over-the-counter medication such as acetaminophen (Tylenol) or ibuprofen (Advil, Motrin).      For swelling, apply an ice pack to the scrotum.  3. Provide Rest and Support      The person should wear supportive underwear.      The person should avoid strenuous activity.  4. Follow Up      See a health care provider as soon as possible for mild pain.      The health care provider will examine the scrotum and testicles and may order blood and urine tests to check for infection.      Treatment will depend on what's causing the problem."
child i have been asked to work with been diagnosed with this conditioni am so far unable to find info pertaining to this illness can you help,Adrenoleukodystrophy,Information,Adrenoleukodystrophy   Adrenoleukodystrophy describes several closely related inherited disorders that disrupt the breakdown (metabolism) of certain fats (very long chain fatty acids).
im losing my hearing in my left ear can you help,losing  my  hearing,Treatment,"It's frustrating to be unable to hear well enough to enjoy talking with friends or family. Hearing disorders make it hard, but not impossible, to hear. They can often be helped. Deafness can keep you from hearing sound at all.  What causes hearing loss? Some possibilities are      Heredity     Diseases such as ear infections and meningitis     Trauma     Certain medicines     Long-term exposure to loud noise     Aging  There are two main types of hearing loss. One happens when your inner ear or auditory nerve is damaged. This type is usually permanent. The other kind happens when sound waves cannot reach your inner ear. Earwax build-up, fluid, or a punctured eardrum can cause it. Treatment or surgery can often reverse this kind of hearing loss.  Untreated, hearing problems can get worse. If you have trouble hearing, you can get help. Possible treatments include hearing aids, cochlear implants, special training, certain medicines, and surgery."
is there any treatment s available,fibromyalgia,Treatment,"There is no cure for fibromyalgia, but medicine can help you manage your symptoms. Getting enough sleep, exercising, and eating well may also help."
i would like to know if you can point in the direction of laboratory in southern california specifically san bernardino county or county or even riverside county that does genetic testing for eds or osteogenesis imperfecta and do you know if the two diseases are similiar in symptoms thank you for you help and time,EDS,Organization,"Summary  Connective tissue is the material inside your body that supports many of its parts. It is the ""cellular glue"" that gives your tissues their shape and helps keep them strong. It also helps some of your tissues do their work. Cartilage and fat are examples of connective tissue.  There are over 200 disorders that impact connective tissue. Some, like cellulitis, are the result of an infection. Injuries can cause connective tissue disorders, such as scars. Others, such as Ehlers-Danlos syndrome, Marfan syndrome, and osteogenesis imperfecta, are genetic. Still others, like scleroderma, have no known cause. Each disorder has its own symptoms and needs different treatment."
i have worms coming out my nose i took to my dr would not send to lab so and out of my eyes my eye is so red and in pain i have the worms coming out and the emergency room doctor set with conjunctivitis and would not send my worms to the lab either they are eating alive i am so fatigued so tired i cant get out of bed im swollen i need help its been years ive been trying to get them to see my samples one will help,worms coming out my nose and out of my eyes,Treatment,"Treatment includes medicines that paralyze or kill intestinal parasitic worms. If there is a blockage of the intestine caused by a large number of worms, endoscopy may be used to remove the worms. In rare cases, surgery is needed. People who are treated for roundworms should be checked again in 3 months. This involves examining the stools to check for eggs of the worm. If eggs are present, treatment should be given again."
who is certified opt in or near the nashville tn area who does surgery for strabismus please help find trusted doctor who performs this kind of surgery,surgery for strabismus,Organization,Find an Eye M.D.(American Academy of Ophthalmology)
can an abscess teeth cause heart attack,abscess teeth/heart attack,Cause,"Possible Complications of Tooth Abscesses   When left untreated, an advanced tooth abscess infection can eat away the jaw, leading to tooth loss and possible facial disfigurement as a result of compromised, soft facial bones. It can put you at greater risk of systemic (whole body) problems such as diabetic flare-ups, blood infection (septicaemia), breathing problems, heart disease and vascular infection."
good day just want to know if must be worried as by is 5 year and picking up lot of weight as is always hungry drinks lot very active hes grandfather diabetes then my other is 7 does eat alot and is very skinny not picking up weight so is it possible that if one is over weight that you can have diabetes there must be reason you picking weight and is playing rugby running lot riding bike please help,over weight/diabetes,Association,"Signs and Symptoms  The symptoms of type 2 diabetes aren't always obvious and they can take a long time to develop. Sometimes, there are no symptoms. It's important to remember that not everyone with insulin resistance or type 2 diabetes develops these warning signs, and not everyone who has these symptoms necessarily has type 2 diabetes.  But kids or teens who develop type 2 diabetes may:"
how can i get my white blood cell count higher,white blood cell count,Treatment,Diet and medications can help increase white blood cells in some people.
i have observed hair loss on lower extremities on males is this poor blood circulation any advice,hair loss lower extremities,Information,"Symptoms  Hair loss is usually the only symptom. A few people may also feel a burning sensation or itching.  Alopecia areata usually begins as 1 to 2 patches of hair loss. Hair loss is most often seen on the scalp. It may also occur in the beard, eyebrows, and arms or legs in some people."
are ear lobe creases always heart disease and 100 heart attack pending what are other causes im 56 have pierced ears but havent wore earrings in years in the last 7 years i rarely eat meat and when i do its chicken or fish maybe beef every 5 years or so and its maybe hamburger lean if you do have arteriosclerosis is there anyway to reverse it,ear lobe creases/heart disease,Association,Diagonal creases were present in 123 (72%) of 171 men and 88 (67%) of 132 women. A previous history of cardiovascular disease was present in 90 (30%) of the total of 303 and 74 (35%) of the 211 with diagonal creases. A cardiovascular cause of death was present in 154 (73%) of 211 with and 41 (45%) of 92 without diagonal creases and was associated with an increased risk of a cardiovascular cause of death of 1.55 in men and 1.74 in non-diabetic women.
do you have any further information on said tumor how involved is the removal of said tumor small,ACOUSTIC NEUROMA,Information,How is a vestibular schwannoma treated?
question what is the consensus of medical doctors as to whether asthma can be cured and do you have an article discussing whether asthma can be cured,asthma,Treatment,Asthma is a long-term disease that has no cure. The goal of asthma treatment is to control the disease.
i have few questions and needed some help from you guys i have really serious problem about and the stress i have been through for long time and i couldnt do anything to get rid off what im really in bad feelings and im really having and hard time searching and try to get rid off my pimples ive been have these probably every since when i was 15 years old i do not know what kind or where i can find something that could help something that could work because theres alot of products and im not sure which kind could fit my skins to remove my pimples please help im having serious hard time having these its really embarrassing thats why i always wear long sleeve to cover it every single day 247 im really appreciate if you guys have tine to contact and talk about another thing my question is how can i get rid of my pimples on my upper arms and my back also i really dont know what kind pimples do i have on my skin please help so i wouldnt be having so many stress about my skins,pimples,Treatment,"SELF-CARE    Steps you can take to help your acne:        Clean your skin gently with a mild, nondrying soap (such as Dove, Neutrogena, Cetaphil, CeraVe, or Basics).      Look for water-based or ""noncomedogenic"" formulas for cosmetics and skin creams. (Noncomedogenic products have been tested and proven not to clog pores and cause acne.)      Remove all dirt or make-up. Wash once or twice a day, including after exercising.      Avoid scrubbing or repeated skin washing.      Shampoo your hair daily, especially if it is oily.      Comb or pull your hair back to keep the hair out of your face.     What NOT to do:        Try not to squeeze, scratch, pick, or rub the pimples. This can lead to skin infections and scarring.      Avoid wearing tight headbands, baseball caps, and other hats.      Avoid touching your face with your hands or fingers.      Avoid greasy cosmetics or creams.      DO NOT leave make-up on overnight.     If these steps do not clear up the blemishes, try over-the-counter acne medicines that you apply to your skin.        These products may contain benzoyl peroxide, sulfur, resorcinol, or salicylic acid.      They work by killing bacteria, drying up skin oils, or causing the top layer of your skin to peel.      They may cause redness, drying, or peeling of the skin.     A small amount of sun exposure may improve acne slightly, but tanning mostly hides the acne. Too much exposure to sunlight or ultraviolet rays is not recommended because it increases the risk for skin cancer.    MEDICINES FROM YOUR HEALTH CARE PROVIDER    If pimples are still a problem, a provider can prescribe stronger medicines and discuss other options with you.    Antibiotics may help some people with acne:        Oral antibiotics (taken by mouth) such as tetracycline, doxycycline, minocycline, erythromycin, trimethoprim, and amoxicillin      Topical antibiotics (applied to the skin) such as clindamycin, erythromycin, or dapsone     Creams or gels applied to the skin may be prescribed:        Retinoic acid cream or gel (tretinoin, Retin-A)      Prescription formulas of benzoyl peroxide, sulfur, resorcinol, or salicylic acid      Topical azelaic acid     For women whose acne is caused or made worse by hormones:        A pill called spironolactone may help.      Birth control pills may help in some cases, though they may make acne worse in some women.     Minor procedures or treatments may also be helpful:        A laser procedure called photodynamic therapy may be used.      Your provider may also suggest chemical skin peeling; removal of scars by dermabrasion; or removal, drainage, or injection of cysts with cortisone.     People who have cystic acne and scarring may try a medicine called isotretinoin (Accutane). You will be watched closely when taking this medicine because of its side effects.    Pregnant women should NOT take Accutane, because it causes severe birth defects.        Women taking Accutane must use 2 forms of birth control before starting the drug and enroll in the iPledge program.      Men also need to be enrolled in the iPledge program.      Your provider will follow you on this drug and you will have regular blood tests."
hello i have foot drop for damage to the common peroneal nerve caused by surgery on knee in november 2012please which is the most prestigious institution or place in usa for treatment or surgery of this type of injury thanks lot,damage to the common peroneal nerve,Organization,"Foot Drop | Florida Hospital  Florida Hospital Learn about foot drop, and what the experts at Florida Hospital can do to help individuals with this condition."
need to know about the work place and someone having shingles especially while handling food,shingles,Susceptibility,"You can't catch shingles from someone who has it. However, if you have a shingles rash, you can pass the virus to someone who has never had chickenpox. This would usually be a child, who could get chickenpox instead of shingles. The virus spreads through direct contact with the rash, and cannot spread through the air."
would like to get some info on the procedures for hiatal herniaacid reflux i am tired of nexium,Hiatal Herna /Acid reflux,Treatment,REFLUX TREATMENT  Gastroesophageal reflux disease is treated according to its severity.
your information about whipples disease says that it is fatal if left untreated but there is information about how long person can have it i have been sick for 6 years and am having luck getting diagnosis and it would be most helpful in ruling things out if i knew whether or not particular illness would kill person within shorter time period than 6 years thank you,Whipple's Disease,Prognosis,"""A person with Whipple disease may experience a relapse—a return of symptoms. Relapse can happen years after treatment and requires repeat treatments."""
sir help overcome incessant flatulence i am suffering from the above for year now please help have medical solutions thank you,INCESSANT FLATULENCE,Treatment,"Gas in the digestive tract comes from two sources: air that you swallow and the breakdown of undigested food by bacteria in the large intestine. Certain foods may cause gas. Foods that produce gas in one person may not cause gas in another.  You can reduce the amount of gas you have by  •Drinking lots of water and non-fizzy drinks  •Eating more slowly so you swallow less air when you eat  •Avoiding milk products if you have lactose intolerance   Medicines can help reduce gas or the pain and bloating caused by gas. If your symptoms still bother you, see your health care provider."
hi there i am losing my hair im women by the way and i am getting spots every day big lump spots and now the hairs on my face are now showing they have become coarse please could you help i dont go out anymore im so ashamed of myself,hair loss/new acne/coarse hair on face,Treatment,"Effective treatments for some types of hair loss are available. But some hair loss is permanent. With some conditions, such as patchy alopecia, hair may regrow without treatment within a year.    Treatments for hair loss include medications, surgery, laser therapy, and wigs or hairpieces. Your doctor may suggest a combination of these approaches in order to get the best results.    The goals of treatment are to promote hair growth, slow hair loss or hide hair loss.  Medication    If your hair loss is caused by an underlying disease, treatment for that disease will be necessary. This may include drugs to reduce inflammation and suppress your immune system, such as prednisone. If a certain medication is causing the hair loss, your doctor may advise you to stop using it for at least three months.    Medications are available to treat pattern baldness. Two medications approved by the Food and Drug Administration (FDA) to treat hair loss are:        Minoxidil (Rogaine). Minoxidil is an over-the-counter liquid or foam that you rub into your scalp twice a day to grow hair and to prevent further hair loss. It may be used by men and women. With this treatment, some people experience hair regrowth, a slower rate of hair loss or both. The effect peaks at 16 weeks and you need to keep applying the medication to retain benefits.        Possible side effects include scalp irritation, unwanted hair growth on the adjacent skin of the face and hands, and rapid heart rate (tachycardia).        Finasteride (Propecia). This prescription drug is available only to men. It's taken daily in pill form. Many men taking finasteride experience a slowing of hair loss, and some may show some new hair growth. You need to keep taking it to retain benefits.        Rare side effects of finasteride include diminished sex drive and sexual function and an increased risk of prostate cancer. Women who are or may be pregnant need to avoid touching crushed or broken tablets.    Surgery    In the most common type of permanent hair loss, only the top of the head is affected. Hair transplant or restoration surgery can make the most of the hair you have left.    During this procedure, your surgeon removes tiny plugs of skin, each containing a few hairs, from the back or sides of your scalp. He or she then implants the plugs into the bald sections of your scalp. You may be asked to take a hair loss medication before and after surgery to improve results.    Surgical procedures to treat baldness are expensive and can be painful. Possible risks include infection and scarring.  Wigs and hairpieces    You may want to try a wig or a hairpiece as an alternative to medical treatment or if you don't respond to treatment. It can be used to cover either permanent or temporary hair loss. Quality, natural-looking wigs and hairpieces are available.    If your hair loss is due to a medical condition, the cost of a wig may be covered by insurance. You'll need a prescription for the wig from your doctor."
can gerd be cured i am suffering from this disease for almost three years nowi have gone to many hospitals but still cant be curedi have been given omeprazole capsules many timesplease help,GERD,Treatment,"Studies have shown proton pump inhibitor therapy can provide complete endoscopic mucosal healing of esophagitis at 6 to 8 weeks in 75% to 100% of cases. Although healing of the esophagus may occur in 6 to 8 weeks, it should not be misunderstood that gastroesophageal reflux can be cured in that amount of time. The goal of therapy for GERD is to keep symptoms comfortably under control and prevent complications."
i am looking for some information about symptoms of adult adhd and what other conditions have symptoms that can be confused for adult adhd,adult ADHD,Diagnosis,Adult ADHD symptoms may include:  Trouble focusing or concentrating Restlessness Impulsivity Difficulty completing tasks Disorganization Low frustration tolerance Frequent mood swings Hot temper Trouble coping with stress Unstable relationships
i know that the jury is out on the exact causes of preeclampsia but i am looking for some of the ways that the chances of acquiring it can be minimized,preeclampsia,Treatment,"Some pregnant women with high blood pressure develop preeclampsia. It's a sudden increase in blood pressure after the 20th week of pregnancy. It can be life-threatening for both you and the unborn baby. There is no proven way to prevent it. Most women who have signs of preeclampsia are closely monitored to lessen or avoid complications. The only way to ""cure"" preeclampsia is to deliver the baby."
what is the latest information for the treatment of rheumatoid arthritis in middle aged males,rheumatoid arthritis,Treatment,"How Is Rheumatoid Arthritis Treated?  Doctors use a variety of approaches to treat rheumatoid arthritis. These are used in different combinations and at different times during the course of the disease and are chosen according to the patient’s individual situation. No matter what treatment the doctor and patient choose, however, the goals are the same: to relieve pain, reduce inflammation, slow down or stop joint damage, and improve the person’s sense of well-being and ability to function."
can this help when i marry the girl imwith in vitro her family something called pheochromocytoma paraganglioma only her brother and father have it she is just carrier will you think in vitro might prevent it if we have kids,Pheochromocytoma Paraganglioma,Susceptibility,More than half of the children and adolescents diagnosed with pheochromocytoma or paraganglioma have an inherited syndrome or gene change that increased the risk of cancer. Genetic counseling (a discussion with a trained professional about inherited diseases) and testing is an important part of the treatment plan.
dear sir madam iam patient suffering from friedreichs ataxia and i heard there was medicine for it in 2009 and since we are looking for the medicine kindly help on this and i have dna report could you please help us on this as there are two people respective age 22 years and 24 years suffering from it looking for your help on this asap and please let us know when the medicine will be there in market,Friedreich's ataxia,Treatment,"As with many degenerative diseases of the nervous system, there is currently no cure or effective treatment for Friedreich's ataxia. However, many of the symptoms and accompanying complications can be treated to help individuals maintain optimal functioning as long as possible. Doctors can prescribe treatments for diabetes, if present; some of the heart problems can be treated with medication as well. Orthopedic problems such as foot deformities and scoliosis can be corrected with braces or surgery. Physical therapy may prolong use of the arms and legs. Advances in understanding the genetics of Friedreich's ataxia are leading to breakthroughs in treatment. Research has moved forward to the point where clinical trials of proposed treatments are presently occurring for Friedreich’s ataxia."
i need vaginal repair but would like to know the truth and is it worth it and will it prolapse againthen what,vaginal   prolapse,Treatment,"SURGERY Surgery should not be done until the prolapse symptoms are worse than the risks of having surgery. The type of surgery will depend on:  The severity of the prolapse The woman’s plans for future pregnancies The woman’s age, health, and other medical problems The woman’s desire to retain vaginal function There are some surgical procedures that can be done without removing the uterus, such as a sacrospinous fixation. This procedure involves using nearby ligaments to support the uterus. Other procedures are also available."
